[DEBUG] 2018-10-16 22:29:40.774 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@38ba6ce3
[DEBUG] 2018-10-16 22:29:40.774 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@38ba6ce3
[DEBUG] 2018-10-16 22:29:40.777 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7fbdb894
[DEBUG] 2018-10-16 22:29:40.778 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7fbdb894
[DEBUG] 2018-10-16 22:29:40.778 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7fbdb894
[DEBUG] 2018-10-16 22:29:40.779 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6e005dc9
[DEBUG] 2018-10-16 22:29:40.782 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@7c214cc0
[DEBUG] 2018-10-16 22:29:40.782 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7c214cc0
[DEBUG] 2018-10-16 22:29:40.786 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7c214cc0
[DEBUG] 2018-10-16 22:29:40.788 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@20f5281c
[DEBUG] 2018-10-16 22:29:40.790 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4397ad89
[DEBUG] 2018-10-16 22:29:40.790 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4397ad89
[DEBUG] 2018-10-16 22:29:40.792 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@71329995
[DEBUG] 2018-10-16 22:29:40.792 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@71329995
[DEBUG] 2018-10-16 22:29:40.798 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4ddbbdf8
[DEBUG] 2018-10-16 22:29:40.798 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4ddbbdf8
[DEBUG] 2018-10-16 22:29:40.799 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@1115ec15
[DEBUG] 2018-10-16 22:29:40.799 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1115ec15
[DEBUG] 2018-10-16 22:29:40.800 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@74a6f9c1
