[DEBUG] 2018-10-31 20:07:43.246 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4ee99681
[DEBUG] 2018-10-31 20:07:43.251 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@62868eb0
[DEBUG] 2018-10-31 20:07:43.251 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@62868eb0
[DEBUG] 2018-10-31 20:07:43.252 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@cf87819
[DEBUG] 2018-10-31 20:07:43.252 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@cf87819
[DEBUG] 2018-10-31 20:07:43.255 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1d1671d1
[DEBUG] 2018-10-31 20:07:43.255 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1d1671d1
[DEBUG] 2018-10-31 20:07:43.256 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@56c32f76
[DEBUG] 2018-10-31 20:07:43.256 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@56c32f76
[DEBUG] 2018-10-31 20:07:43.256 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@56c32f76
[DEBUG] 2018-10-31 20:07:43.258 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1bb371f7
[DEBUG] 2018-10-31 20:07:43.259 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@66a3a8f0
[DEBUG] 2018-10-31 20:07:43.259 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@66a3a8f0
[DEBUG] 2018-10-31 20:07:43.259 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@66a3a8f0
[DEBUG] 2018-10-31 20:07:43.259 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@210b9d6d
[DEBUG] 2018-10-31 20:07:43.261 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@fa07ea3
[DEBUG] 2018-10-31 20:07:43.261 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@fa07ea3
[DEBUG] 2018-10-31 20:07:43.262 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2e79bb7b
[DEBUG] 2018-10-31 20:07:43.263 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2e79bb7b
[DEBUG] 2018-10-31 20:07:43.263 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@6183e319
[DEBUG] 2018-10-31 20:07:43.264 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@6183e319
[DEBUG] 2018-10-31 20:07:43.264 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@696f266d
[DEBUG] 2018-10-31 20:07:43.264 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@696f266d
[DEBUG] 2018-10-31 20:07:43.266 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@77b09fa1
[DEBUG] 2018-10-31 20:07:43.266 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@77b09fa1
[DEBUG] 2018-10-31 20:07:43.267 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@17f16cee
[DEBUG] 2018-10-31 20:07:43.268 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@ba5a839
[DEBUG] 2018-10-31 20:07:43.268 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@ba5a839
[DEBUG] 2018-10-31 20:07:43.268 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@ba5a839
[DEBUG] 2018-10-31 20:07:43.269 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3fffed12
[DEBUG] 2018-10-31 20:07:43.269 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3fffed12
[DEBUG] 2018-10-31 20:07:43.269 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3fffed12
[DEBUG] 2018-10-31 20:07:43.277 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@246a67e1
[DEBUG] 2018-10-31 20:07:43.280 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@5207c915
[DEBUG] 2018-10-31 20:07:43.281 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@1b249613
[DEBUG] 2018-10-31 20:07:43.283 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@1b249613
[DEBUG] 2018-10-31 20:07:43.283 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@1b249613
[DEBUG] 2018-10-31 20:07:43.284 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4c4afcef
[DEBUG] 2018-10-31 20:07:43.284 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4c4afcef
[DEBUG] 2018-10-31 20:07:43.284 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4c4afcef
[DEBUG] 2018-10-31 20:07:43.287 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@62142e18
[DEBUG] 2018-10-31 20:07:43.288 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@2b49383e
[DEBUG] 2018-10-31 20:07:43.292 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@4eb8e1c8
[DEBUG] 2018-10-31 20:07:43.292 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4eb8e1c8
[DEBUG] 2018-10-31 20:07:43.292 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@17f4a83e
[DEBUG] 2018-10-31 20:07:43.295 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@56430f40
[DEBUG] 2018-10-31 20:07:43.295 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@56430f40
[DEBUG] 2018-10-31 20:07:43.306 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@7314e789
[DEBUG] 2018-10-31 20:07:43.306 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@7314e789
[DEBUG] 2018-10-31 20:07:43.307 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@37ca5da4
[DEBUG] 2018-10-31 20:07:43.307 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@272c6295
[DEBUG] 2018-10-31 20:07:43.309 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@60cb31f0
[DEBUG] 2018-10-31 20:07:43.311 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@1394573f
[DEBUG] 2018-10-31 20:07:43.311 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1394573f
[DEBUG] 2018-10-31 20:07:43.311 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@797d8927
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@48e10498
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@6606b76b
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@15dc157e
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@7d8253
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@40788300
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@1316c98b
[DEBUG] 2018-10-31 20:07:43.312 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@66145972
[INFO ] 2018-10-31 20:07:43.324 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_VetHunHelping
[INFO ] 2018-10-31 20:07:43.325 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-31 20:07:43.325 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-31 20:07:43.681 [http-nio-8080-exec-3] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
